Datum;Summa;Exklusive Moms;Varav Moms;Nr;Momssats;Notis
SUM;6 389,30;5 201,52;1 187,78;;;SEK-poster. FX-poster nedan saknar kurs.
2026-04-02;1 504,00;1 203,14;300,86;1;25%;Telia mobil apr (alla tre nummer)
2026-04-30;232,30;232,30;0,00;2;0% omvänd;Google Workspace 1-7 apr, faktura 5557570033 (gamla kontot)
2026-05-02;1 422,00;1 137,57;284,43;3;25%;Telia mobil maj (alla tre nummer)
2026-05-08;305,00;287,73;17,27;4;6%;Thai Wok & Sushi - REPRESENTATION. Ej avdragsgill i inkomstslaget (IL 16:2), moms avdragsgill (under 300 kr/person). Konto 6072.
2026-06-02;2 098,00;1 678,38;419,62;5;25%;Telia mobil jun (alla tre nummer)
2026-06-26;828,00;662,40;165,60;6;25%;Speltrollet - Pokemon booster + binder. Varulager/inkop TCG (kostnadsstalle TCG).
;;;;;;
FX - fyll i SEK fran kontoutdraget;;;;;;
2026-05-08;;;;7;0% omvänd;fal.ai (Features & Labels Inc) - 20 credits, faktura SCKQMD-00002 - 20,00 USD
2026-06-03;;;;8;0% omvänd;Anthropic Claude Max 5x jun - betald via Link, EJ Pleo-kortet - 90,00 EUR
;;;;;;
EJ MEDTAGET - ligger redan i Pleo (kort 8786);;;;;;
2026-04-03;90,00 EUR;;;;;Anthropic Claude Max 5x apr - kort 8786
2026-05-03;90,00 EUR;;;;;Anthropic Claude Max 5x maj - kort 8786
2026-05-31;126,50 EUR;;;;;Google Workspace maj - nya CZP-kontot, kort 8786
2026-06-30;126,50 EUR;;;;;Google Workspace jun - nya CZP-kontot, kort 8786
;;;;;;
EJ MEDTAGET - privat (Roberts beslut 2026-07-24);;;;;;
2026-06-07;115,00;;;;;Eriksdalsbadet - 1 vuxen + 1 barn familjebiljett
2026-06-08;840,00;;;;;Eriksdalsbadet - bad 10 ggr vuxen
